"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","category","nearest_add","on_street","from_street","to_street","side_of_st","installation_date","asset_id","asset_subtype","latitude","longitude","siteid","ntaname","femafldz","femafldt","hrcevac"
"POINT (-73.94216538669866 40.7869571518836)","1","Manhattan","111","8","68","29","13",,"345 E 101 Street","1 Avenue","E 101 Street","E 102 Street","W","2017-08-03T00:00:00.000","Color: Silver (BB1-2017-0244)","BACKED 1.0","40.78696542","-73.94216682","SEAT.2017.0207","East Harlem (South)","AE",,"2"
"POINT (-73.78478962212795 40.71229773604804)","4","Queens","412","23","29","11","5",,"178-02 Hillside Avenue","Hillside Avenue","178 Street","179 Street","S","2025-09-24T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.712306","-73.784791","SEAT.2023.0643","Jamaica","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.97313456367077 40.680498748987524)","3","Brooklyn","308","35","44","25","10",,"500 Dean Street","Bergen Street","Carlton Avenue","6 Avenue","N","2025-11-12T00:00:00.000","Color: Black ()","BACKED 2.0","40.680507","-73.973136","SEAT.2023.0697","Prospect Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.86532059811918 40.69169456070988)","4","Queens","409","32","38","15","7",,"76-07 Jamaica Avenue","Jamaica Avenue","76 Street","77 Street",,"2013-12-05T00:00:00.000","Color: Silver (BB1-2013-1104)","BACKED 1.0","40.69170282","-73.865322","SEAT.2013.0514","Woodhaven","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92829145061204 40.8664769135794)","1","Manhattan","112","10","71","31","13",,"251 Dyckman Street","Dyckman Street","Payson Avenue","Seaman Avenue","N","2014-12-04T00:00:00.000","Color: Silver (BB1-2014-1835)","BACKED 1.0","40.8664852","-73.92829288","SEAT.2014.0365","Inwood","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.00571366613791 40.70622332045284)","1","Manhattan","101","1","65","27","10",,"155 Water Street","Water Street","Maiden Lane","Fletcher Street","E","2012-07-09T00:00:00.000","Color: Silver (BL1-2012-1712)","BACKLESS 1.0","40.70623158","-74.00571511","SEAT.2012.0069","Financial District-Battery Park City","AE",,"1"
"POINT (-73.91376657789108 40.76322573043572)","4","Queens","401","22","34","12","14",,"41-16 30 Avenue","30 Avenue","41 Street","42 Street","S","2023-10-04T00:00:00.000","Color: Black (BB2-2023-1112)","BACKED 2.0","40.763234","-73.913768","SEAT.2023.0706","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9167065823292 40.66886374918954)","3","Brooklyn","316","41","55","25","8",,"1547 Pitkin Avenue","Pitkin Avenue","Strauss Street","Saratoga Avenue","N","2025-05-20T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.668872","-73.916708","SEAT.2025.0107","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.96942816963416 40.60457646199753)","3","Brooklyn","315","44","45","22","9",,"541 Kings Highway","Kings Highway","E 4 Street","E 3 Street","N","2017-02-10T00:00:00.000","Color: Silver (BL2-2017-0022)","BACKLESS 2.0","40.6045847","-73.9694296","SEAT.2017.0029","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.78550517716914 40.7709268322162)","4","Queens","411","19","26","16","3",,"204-6 32 Avenue","32 Avenue","204 Street","205 Street",,"2018-08-02T00:00:00.000","Color: Silver (BB2-2018-0588)","BACKED 2.0","40.77093511","-73.78550656","SEAT.2018.0177","Auburndale","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.99894909855168 40.71938351730862)","1","Manhattan","102","1","65","27","10",,"215 Centre Street","Centre Street","Howard Street","Grand Street","W","2015-06-05T00:00:00.000","Color: Silver (BB1-2015-1925)","BACKED 1.0","40.71939177","-73.99895054","SEAT.2015.0119","SoHo-Little Italy-Hudson Square","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.9613985623468 40.76443573209885)","1","Manhattan","108","5","76","28","12",,"1256 2 Avenue","2 Avenue","E 66 Street","E 65 Street","E","2025-06-27T00:00:00.000","Color: Black ()","BACKED 2.0","40.764444","-73.9614","SEAT.2024.0630","Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90161557867272 40.81999271861436)","2","Bronx","201","17","79","32","15",,"847 Prospect Avenue","Prospect Avenue","E 161 Street","E 160 Street","W","2025-03-18T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.820001","-73.901617","SEAT.2024.0401","Melrose","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.95459716897216 40.741528424567385)","4","Queens","402","26","37","59","7",,"51-98 Vernon Blvd","Vernon Boulevard","51 Avenue","Borden Avenue","W","2018-02-13T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.74153669","-73.9545986","SEAT.2018.0077","Long Island City-Hunters Point","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.99037496365531 40.63657163429051)","3","Brooklyn","312","44","48","22","10",,"4601 13th Avenue","13 Avenue","46 Street","47 Street",,"2017-09-26T00:00:00.000","Color: Silver (BB1-2017-0254)","BACKED 1.0","40.63657988","-73.9903764","SEAT.2017.0236","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
