"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"201555","40.72180744","-73.98982976","9","honeylocust","Good"
"178382","40.7337165","-73.97705764","12","London planetree","Fair"
"191988","40.72663958","-73.99936836","6","willow oak","Good"
"198121","40.74503399","-73.98253015","8","pin oak","Fair"
"195252","40.73599985","-73.99985935","5","pin oak","Good"
"196373","40.71680539","-73.99157275","13","London planetree","Good"
"196372","40.71688341","-73.99153287","12","London planetree","Good"
"196374","40.71669718","-73.99162805","13","London planetree","Good"
"192814","40.73998079","-74.00504966","7","pin oak","Good"
"179828","40.72180184","-73.99119881","1","red maple","Good"
"175693","40.74829709","-73.98065645","4","ginkgo","Good"
"191273","40.73943979","-73.98436755","8","honeylocust","Fair"
"176850","40.73570804","-73.98261517","7","ginkgo","Fair"
"201558","40.72173136","-73.98958224","10","honeylocust","Good"
"178606","40.74780138","-73.97857966","7","honeylocust","Good"
"201410","40.72311463","-73.9903307","3","ginkgo","Good"
"179834","40.72206573","-73.99110017","19","ginkgo","Good"
"195995","40.74486653","-73.98598251","3","honeylocust","Fair"
"206381","40.73815531","-73.98054734","10","ginkgo","Good"
"200439","40.71269558","-73.99769319","6","ginkgo","Good"
"170023","40.71007644","-74.01226648","2","honeylocust","Good"
"206382","40.73824263","-73.98048352","11","honeylocust","Good"
"118769","40.71975914","-73.98660086","5","Turkish hazelnut","Fair"
"191268","40.739211","-73.98381722","9","ginkgo","Good"
"178385","40.73357762","-73.97672526","19","London planetree","Fair"
"178387","40.73346807","-73.97646308","4","London planetree","Good"
"191989","40.72666328","-73.99941653","5","willow oak","Good"
"191378","40.73974645","-73.9850924","4","honeylocust","Good"
"170024","40.71011368","-74.01235235","3","honeylocust","Good"
"175704","40.74791179","-73.98052056","4","Sophora","Good"
"145055","40.71751014","-73.99597274","1","Sophora","Poor"
"194260","40.7206881","-73.98224174","4","honeylocust","Good"
"120819","40.74797175","-74.00705779","3","swamp white oak","Fair"
"192803","40.73951749","-74.00396884","5","Japanese zelkova","Good"
"163815","40.7226696","-73.97718111","4","Sophora","Good"
"176350","40.73616366","-73.98067313","6","honeylocust","Good"
