"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"208649","40.76272385","-73.98729652","9","American linden","Good"
"178382","40.7337165","-73.97705764","12","London planetree","Fair"
"191988","40.72663958","-73.99936836","6","willow oak","Good"
"198121","40.74503399","-73.98253015","8","pin oak","Fair"
"195252","40.73599985","-73.99985935","5","pin oak","Good"
"208463","40.76312607","-73.98935258","14","ash","Good"
"192814","40.73998079","-74.00504966","7","pin oak","Good"
"175693","40.74829709","-73.98065645","4","ginkgo","Good"
"191273","40.73943979","-73.98436755","8","honeylocust","Fair"
"176850","40.73570804","-73.98261517","7","ginkgo","Fair"
"178606","40.74780138","-73.97857966","7","honeylocust","Good"
"200471","40.75757044","-73.98285452","4","ginkgo","Good"
"195995","40.74486653","-73.98598251","3","honeylocust","Fair"
"187229","40.75235028","-73.97971637","4","honeylocust","Fair"
"206381","40.73815531","-73.98054734","10","ginkgo","Good"
"206382","40.73824263","-73.98048352","11","honeylocust","Good"
"191268","40.739211","-73.98381722","9","ginkgo","Good"
"198018","40.75019786","-73.97469992","8","ginkgo","Poor"
"198020","40.75041366","-73.97454407","6","ginkgo","Poor"
"175281","40.76814466","-73.99240025","3","Norway maple","Good"
"200363","40.75689625","-73.98317757","10","ginkgo","Good"
"178385","40.73357762","-73.97672526","19","London planetree","Fair"
"178387","40.73346807","-73.97646308","4","London planetree","Good"
"191989","40.72666328","-73.99941653","5","willow oak","Good"
"191378","40.73974645","-73.9850924","4","honeylocust","Good"
"175704","40.74791179","-73.98052056","4","Sophora","Good"
"192803","40.73951749","-74.00396884","5","Japanese zelkova","Good"
"175294","40.76726396","-73.99030242","6","Sophora","Good"
"176350","40.73616366","-73.98067313","6","honeylocust","Good"
"162814","40.72569708","-73.97909807","3","Sophora","Fair"
"195249","40.73588436","-73.9995854","15","ginkgo","Good"
"210642","40.7665429","-73.98637067","11","honeylocust","Good"
"200364","40.75685573","-73.98308165","7","ginkgo","Good"
"176849","40.73563404","-73.98266889","7","ginkgo","Good"
"208520","40.76497172","-73.99067638","8","American linden","Good"
"197862","40.74990774","-73.97654061","14","Sophora","Good"
"196005","40.74452808","-73.9854111","6","honeylocust","Good"
"203268","40.7327581","-73.9847638","7","honeylocust","Good"
"173727","40.73689499","-74.00358611","20","Ohio buckeye","Good"
"195309","40.7357081","-73.99817893","14","Sophora","Good"
"189962","40.76362307","-73.96388853","9","Sophora","Good"
"208530","40.76437966","-73.9892713","18","Callery pear","Good"
"192713","40.73791181","-74.00199676","12","Callery pear","Good"
"178575","40.74865418","-73.97795891","10","ginkgo","Good"
"191379","40.73986146","-73.98536217","5","Japanese zelkova","Fair"
"191380","40.7398883","-73.98542513","6","Japanese zelkova","Fair"
"161141","40.73722897","-74.00564484","9","Sophora","Fair"
"174141","40.75376323","-73.96638946","4","Norway maple","Good"
"182258","40.74704876","-73.99280743","4","Sophora","Good"
"173517","40.73520205","-74.00582898","8",,
"176839","40.74033544","-73.97729531","2","American linden","Good"
"200469","40.75765083","-73.98304478","4","ginkgo","Good"
"198946","40.76178034","-73.98700411","5","Sophora","Good"
"161140","40.73712447","-74.00566547","11","Sophora","Fair"
"175283","40.76808416","-73.99225614","4","Norway maple","Good"
"178506","40.72999096","-73.98829794","10","Norway maple","Good"
"200371","40.75715997","-73.98223654","9","pin oak","Good"
"196078","40.76256232","-73.98946512","8","honeylocust","Good"
"176842","40.74021106","-73.97738586","14","mulberry","Good"
"196030","40.74668938","-73.98064292","10","Sophora","Good"
"192057","40.72813901","-74.00239005","8","northern red oak","Good"
"206383","40.73832995","-73.98041969","9","honeylocust","Good"
"195253","40.73605973","-74.00000137","11","ginkgo","Good"
